iter	Passed	Remaining
843	4376	808
844	4381	803
845	4388	798
846	4393	793
847	4397	788
848	4401	782
849	4408	777
850	4412	772
851	4417	767
852	4421	761
853	4427	756
854	4433	751
855	4438	746
856	4444	741
857	4451	736
858	4456	731
859	4461	726
860	4466	721
861	4471	715
862	4476	710
863	4481	705
864	4487	700
865	4492	695
866	4496	689
867	4503	684
868	4511	680
869	4521	675
870	4526	670
871	4531	665
872	4537	660
873	4542	654
874	4546	649
875	4553	644
876	4560	639
877	4564	634
878	4570	629
879	4576	624
880	4581	618
881	4584	613
882	4589	608
883	4593	602
884	4599	597
885	4605	592
886	4609	587
887	4615	582
888	4620	576
889	4624	571
890	4631	566
891	4636	561
892	4642	556
893	4648	551
894	4655	546
895	4659	540
896	4662	535
897	4668	530
898	4672	524
899	4676	519
900	4681	514
901	4686	509
902	4692	504
903	4696	498
904	4701	493
905	4707	488
906	4712	483
907	4717	478
908	4724	472
909	4730	467
910	4734	462
911	4739	457
912	4743	451
913	4749	446
914	4755	441
915	4761	436
916	4766	431
917	4771	426
918	4776	420
919	4782	415
920	4788	410
921	4793	405
922	4797	400
923	4802	394
924	4806	389
925	4809	384
926	4814	379
927	4820	373
928	4826	368
929	4830	363
930	4836	358
931	4841	353
932	4848	348
933	4851	342
934	4856	337
935	4862	332
936	4868	327
937	4874	322
938	4880	317
939	4884	311
940	4891	306
941	4897	301
942	4903	296
943	4907	291
944	4911	285
945	4915	280
946	4922	275
947	4928	270
948	4933	265
949	4939	259
950	4942	254
951	4947	249
952	4953	244
953	4958	239
954	4962	233
955	4966	228
956	4971	223
957	4977	218
958	4982	213
959	4987	207
960	4992	202
961	4998	197
962	5003	192
963	5007	187
964	5011	181
965	5015	176
966	5021	171
967	5025	166
968	5029	160
969	5032	155
970	5038	150
971	5045	145
972	5052	140
973	5058	135
974	5064	129
975	5069	124
976	5074	119
977	5079	114
978	5083	109
979	5088	103
980	5092	98
981	5096	93
982	5102	88
983	5107	83
984	5112	77
985	5116	72
986	5121	67
987	5126	62
988	5129	57
989	5135	51
990	5139	46
991	5143	41
992	5146	36
993	5151	31
994	5156	25
995	5161	20
996	5167	15
997	5173	10
998	5179	5
999	5186	0
